individual_id,tattoo,first_q,last_q,first_year,first_quarter,last_year,last_quarter,observed_quarters,expected_quarters,missing_quarters
171,008C,8065,8067,2016,2,2016,4,3,3,0
172,008D,8090,8090,2022,3,2022,3,1,1,0
173,008E,8053,8054,2013,2,2013,3,2,2,0
174,008F,8041,8041,2010,2,2010,2,1,1,0
175,008G,8013,8015,2003,2,2003,4,2,3,1
176,008H,8082,8082,2020,3,2020,3,1,1,0
177,008J,8094,8094,2023,3,2023,3,1,1,0
178,008K,8049,8049,2012,2,2012,2,1,1,0
179,008L,8046,8053,2011,3,2013,2,3,8,5
180,008M,8073,8082,2018,2,2020,3,6,10,4
181,008N,8037,8038,2009,2,2009,3,2,2,0
182,008P,8033,8045,2008,2,2011,2,8,13,5
183,008Q,8097,8103,2024,2,2025,4,5,7,2
184,008R,8017,8017,2004,2,2004,2,1,1,0
185,008S,8085,8085,2021,2,2021,2,1,1,0
186,008T,8069,8070,2017,2,2017,3,2,2,0
188,008V,8061,8061,2015,2,2015,2,1,1,0
189,008W,8021,8037,2005,2,2009,2,3,17,14
190,008X,8102,8103,2025,3,2025,4,2,2,0
191,008Y,8029,8030,2007,2,2007,3,2,2,0
192,008Z,8077,8078,2019,2,2019,3,2,2,0
193,009A,8057,8058,2014,2,2014,3,2,2,0
194,009B,8025,8030,2006,2,2007,3,5,6,1
195,009C,8065,8068,2016,2,2017,1,4,4,0
196,009D,8090,8091,2022,3,2022,4,2,2,0
197,009E,8053,8053,2013,2,2013,2,1,1,0
198,009F,8041,8046,2010,2,2011,3,5,6,1
199,009G,8013,8013,2003,2,2003,2,1,1,0
200,009H,8082,8082,2020,3,2020,3,1,1,0
201,009J,8095,8095,2023,4,2023,4,1,1,0
202,009K,8049,8054,2012,2,2013,3,5,6,1
203,009L,8046,8050,2011,3,2012,3,3,5,2
204,009M,8073,8077,2018,2,2019,2,4,5,1
205,009N,8037,8049,2009,2,2012,2,8,13,5
206,009P,8033,8059,2008,2,2014,4,21,27,6
207,009Q,8097,8103,2024,2,2025,4,6,7,1
208,009R,8017,8025,2004,2,2006,2,5,9,4
209,009S,8085,8089,2021,2,2022,2,2,5,3
210,009T,8069,8069,2017,2,2017,2,1,1,0
212,009V,8061,8062,2015,2,2015,3,2,2,0
213,009W,8021,8021,2005,2,2005,2,1,1,0
214,009X,8102,8103,2025,3,2025,4,2,2,0
215,009Y,8029,8029,2007,2,2007,2,1,1,0
216,009Z,8077,8087,2019,2,2021,4,8,11,3
217,010A,8057,8061,2014,2,2015,2,3,5,2
218,010B,8025,8026,2006,2,2006,3,2,2,0
219,010C,8066,8066,2016,3,2016,3,1,1,0
220,010D,8090,8090,2022,3,2022,3,1,1,0
221,010E,8053,8061,2013,2,2015,2,7,9,2
222,010F,8041,8073,2010,2,2018,2,5,33,28
223,010G,8013,8013,2003,2,2003,2,1,1,0
224,010H,8082,8082,2020,3,2020,3,1,1,0
225,010K,8049,8049,2012,2,2012,2,1,1,0
226,010L,8046,8050,2011,3,2012,3,2,5,3
227,010M,8073,8075,2018,2,2018,4,2,3,1
228,010N,8037,8054,2009,2,2013,3,7,18,11
229,010P,8033,8061,2008,2,2015,2,10,29,19
230,010Q,8097,8102,2024,2,2025,3,5,6,1
231,010R,8017,8017,2004,2,2004,2,1,1,0
232,010S,8086,8090,2021,3,2022,3,4,5,1
233,010T,8069,8070,2017,2,2017,3,2,2,0
235,010V,8061,8066,2015,2,2016,3,4,6,2
236,010W,8021,8021,2005,2,2005,2,1,1,0
237,010X,8102,8103,2025,3,2025,4,2,2,0
238,010Y,8029,8053,2007,2,2013,2,11,25,14
239,010Z,8077,8087,2019,2,2021,4,7,11,4
240,011A,8057,8060,2014,2,2015,1,4,4,0
241,011B,8025,8034,2006,2,2008,3,6,10,4
242,011C,8066,8068,2016,3,2017,1,3,3,0
243,011D,8090,8090,2022,3,2022,3,1,1,0
244,011E,8053,8056,2013,2,2014,1,4,4,0
245,011F,8041,8043,2010,2,2010,4,2,3,1
246,011G,8013,8021,2003,2,2005,2,5,9,4
247,011H,8082,8082,2020,3,2020,3,1,1,0
248,011K,8049,8049,2012,2,2012,2,1,1,0
249,011L,8046,8046,2011,3,2011,3,1,1,0
250,011M,8073,8078,2018,2,2019,3,3,6,3
251,011N,8037,8037,2009,2,2009,2,1,1,0
252,011P,8033,8036,2008,2,2009,1,4,4,0
253,011Q,8097,8097,2024,2,2024,2,1,1,0
254,011R,8017,8022,2004,2,2005,3,5,6,1
255,011S,8086,8086,2021,3,2021,3,1,1,0
256,011T,8069,8071,2017,2,2017,4,3,3,0
257,011V,8061,8062,2015,2,2015,3,2,2,0
258,011W,8021,8022,2005,2,2005,3,2,2,0
259,011X,8102,8103,2025,3,2025,4,2,2,0
260,011Y,8029,8049,2007,2,2012,2,16,21,5
261,011Z,8078,8082,2019,3,2020,3,2,5,3
262,012A,8057,8059,2014,2,2014,4,3,3,0
263,012B,8025,8039,2006,2,2009,4,8,15,7
264,012C,8066,8071,2016,3,2017,4,5,6,1
265,012D,8090,8102,2022,3,2025,3,7,13,6
266,012E,8053,8085,2013,2,2021,2,11,33,22
267,012F,8041,8046,2010,2,2011,3,4,6,2
268,012G,8013,8029,2003,2,2007,2,8,17,9
269,012H,8082,8089,2020,3,2022,2,2,8,6
270,012K,8049,8049,2012,2,2012,2,1,1,0
271,012L,8046,8059,2011,3,2014,4,7,14,7
272,012M,8073,8078,2018,2,2019,3,3,6,3
273,012N,8037,8037,2009,2,2009,2,1,1,0
274,012P,8033,8054,2008,2,2013,3,10,22,12
275,012Q,8097,8097,2024,2,2024,2,1,1,0
276,012R,8017,8028,2004,2,2007,1,6,12,6
277,012S,8086,8089,2021,3,2022,2,2,4,2
278,012T,8069,8070,2017,2,2017,3,2,2,0
279,012V,8061,8061,2015,2,2015,2,1,1,0
280,012W,8021,8021,2005,2,2005,2,1,1,0
281,012X,8102,8103,2025,3,2025,4,2,2,0
282,012Y,8029,8034,2007,2,2008,3,5,6,1
283,012Z,8078,8082,2019,3,2020,3,2,5,3
284,013A,8057,8058,2014,2,2014,3,2,2,0
285,013B,8025,8025,2006,2,2006,2,1,1,0
286,013C,8066,8066,2016,3,2016,3,1,1,0
287,013D,8090,8101,2022,3,2025,2,8,12,4
288,013E,8053,8065,2013,2,2016,2,8,13,5
289,013F,8041,8050,2010,2,2012,3,8,10,2
290,013G,8013,8033,2003,2,2008,2,7,21,14
291,013H,8082,8082,2020,3,2020,3,1,1,0
292,013K,8049,8049,2012,2,2012,2,1,1,0
293,013L,8046,8050,2011,3,2012,3,4,5,1
294,013M,8073,8085,2018,2,2021,2,9,13,4
295,013N,8037,8049,2009,2,2012,2,10,13,3
296,013P,8033,8041,2008,2,2010,2,4,9,5
297,013Q,8097,8103,2024,2,2025,4,5,7,2
298,013R,8017,8018,2004,2,2004,3,2,2,0
299,013S,8086,8087,2021,3,2021,4,2,2,0
300,013T,8069,8070,2017,2,2017,3,2,2,0
301,013V,8061,8062,2015,2,2015,3,2,2,0
302,013W,8021,8021,2005,2,2005,2,1,1,0
303,013X,8103,8103,2025,4,2025,4,1,1,0
304,013Y,8029,8046,2007,2,2011,3,7,18,11
305,013Z,8078,8094,2019,3,2023,3,7,17,10
306,014A,8057,8064,2014,2,2016,1,5,8,3
307,014B,8025,8036,2006,2,2009,1,6,12,6
308,014C,8066,8068,2016,3,2017,1,3,3,0
309,014D,8091,8101,2022,4,2025,2,6,11,5
310,014E,8053,8055,2013,2,2013,4,3,3,0
311,014F,8041,8041,2010,2,2010,2,1,1,0
312,014G,8013,8017,2003,2,2004,2,5,5,0
313,014H,8082,8082,2020,3,2020,3,1,1,0
314,014K,8049,8049,2012,2,2012,2,1,1,0
315,014L,8046,8050,2011,3,2012,3,4,5,1
316,014M,8073,8082,2018,2,2020,3,7,10,3
317,014N,8037,8049,2009,2,2012,2,8,13,5
318,014P,8033,8048,2008,2,2012,1,13,16,3
319,014Q,8098,8103,2024,3,2025,4,3,6,3
320,014R,8017,8017,2004,2,2004,2,1,1,0
321,014S,8086,8086,2021,3,2021,3,1,1,0
322,014T,8069,8069,2017,2,2017,2,1,1,0
323,014V,8061,8061,2015,2,2015,2,1,1,0
324,014W,8021,8022,2005,2,2005,3,2,2,0
325,014X,8103,8103,2025,4,2025,4,1,1,0
326,014Y,8029,8030,2007,2,2007,3,2,2,0
327,014Z,8078,8086,2019,3,2021,3,5,9,4
328,015A,8057,8059,2014,2,2014,4,2,3,1
329,015B,8025,8036,2006,2,2009,1,8,12,4
330,015C,8066,8078,2016,3,2019,3,12,13,1
331,015D,8091,8091,2022,4,2022,4,1,1,0
332,015E,8053,8057,2013,2,2014,2,5,5,0
333,015F,8041,8041,2010,2,2010,2,1,1,0
334,015G,8013,8016,2003,2,2004,1,4,4,0
335,015H,8082,8082,2020,3,2020,3,1,1,0
336,015K,8049,8049,2012,2,2012,2,1,1,0
337,015L,8046,8050,2011,3,2012,3,3,5,2
338,015M,8073,8077,2018,2,2019,2,4,5,1
339,015N,8037,8038,2009,2,2009,3,2,2,0
340,015P,8033,8061,2008,2,2015,2,22,29,7
341,015Q,8098,8098,2024,3,2024,3,1,1,0
342,015R,8017,8017,2004,2,2004,2,1,1,0
343,015S,8086,8086,2021,3,2021,3,1,1,0
344,015T,8069,8078,2017,2,2019,3,6,10,4
345,015V,8061,8074,2015,2,2018,3,11,14,3
346,015W,8021,8021,2005,2,2005,2,1,1,0
347,015X,8103,8103,2025,4,2025,4,1,1,0
348,015Y,8029,8040,2007,2,2010,1,4,12,8
349,015Z,8078,8079,2019,3,2019,4,2,2,0
350,016A,8057,8068,2014,2,2017,1,4,12,8
351,016B,8025,8041,2006,2,2010,2,8,17,9
352,016C,8066,8074,2016,3,2018,3,6,9,3
353,016D,8091,8091,2022,4,2022,4,1,1,0
354,016E,8053,8073,2013,2,2018,2,4,21,17
355,016F,8041,8041,2010,2,2010,2,1,1,0
356,016G,8013,8022,2003,2,2005,3,8,10,2
357,016H,8082,8083,2020,3,2020,4,2,2,0
358,016K,8049,8049,2012,2,2012,2,1,1,0
359,016L,8046,8046,2011,3,2011,3,1,1,0
360,016M,8073,8083,2018,2,2020,4,7,11,4
361,016N,8037,8047,2009,2,2011,4,6,11,5
362,016P,8033,8061,2008,2,2015,2,14,29,15
363,016Q,8098,8098,2024,3,2024,3,1,1,0
364,016R,8017,8022,2004,2,2005,3,2,6,4
365,016S,8086,8086,2021,3,2021,3,1,1,0
366,016T,8069,8069,2017,2,2017,2,1,1,0
367,016V,8061,8083,2015,2,2020,4,17,23,6
368,016W,8021,8022,2005,2,2005,3,2,2,0
369,016X,8103,8103,2025,4,2025,4,1,1,0
370,016Y,8029,8030,2007,2,2007,3,2,2,0
371,016Z,8078,8078,2019,3,2019,3,1,1,0
372,017A,8057,8074,2014,2,2018,3,10,18,8
373,017B,8025,8045,2006,2,2011,2,8,21,13
374,017C,8066,8066,2016,3,2016,3,1,1,0
375,017D,8091,8091,2022,4,2022,4,1,1,0
376,017E,8053,8055,2013,2,2013,4,3,3,0
377,017F,8041,8050,2010,2,2012,3,8,10,2
378,017G,8013,8013,2003,2,2003,2,1,1,0
379,017H,8082,8082,2020,3,2020,3,1,1,0
380,017K,8049,8049,2012,2,2012,2,1,1,0
381,017L,8046,8050,2011,3,2012,3,4,5,1
382,017M,8073,8078,2018,2,2019,3,4,6,2
383,017N,8038,8039,2009,3,2009,4,2,2,0
384,017P,8033,8035,2008,2,2008,4,3,3,0
385,017Q,8098,8102,2024,3,2025,3,2,5,3
386,017R,8017,8039,2004,2,2009,4,15,23,8
387,017S,8086,8086,2021,3,2021,3,1,1,0
388,017T,8069,8069,2017,2,2017,2,1,1,0
389,017V,8061,8073,2015,2,2018,2,6,13,7
390,017W,8021,8021,2005,2,2005,2,1,1,0
391,017X,8103,8103,2025,4,2025,4,1,1,0
392,017Y,8029,8037,2007,2,2009,2,2,9,7
393,017Z,8078,8085,2019,3,2021,2,6,8,2
394,018A,8057,8075,2014,2,2018,4,5,19,14
395,018B,8025,8045,2006,2,2011,2,9,21,12
396,018C,8066,8066,2016,3,2016,3,1,1,0
397,018D,8091,8091,2022,4,2022,4,1,1,0
398,018E,8053,8053,2013,2,2013,2,1,1,0
399,018F,8041,8041,2010,2,2010,2,1,1,0
400,018G,8013,8033,2003,2,2008,2,7,21,14
401,018H,8082,8082,2020,3,2020,3,1,1,0
402,018K,8049,8049,2012,2,2012,2,1,1,0
403,018L,8046,8053,2011,3,2013,2,5,8,3
404,018M,8073,8085,2018,2,2021,2,5,13,8
405,018N,8038,8050,2009,3,2012,3,9,13,4
406,018P,8033,8046,2008,2,2011,3,13,14,1
407,018Q,8098,8102,2024,3,2025,3,2,5,3
408,018R,8017,8029,2004,2,2007,2,4,13,9
409,018S,8086,8086,2021,3,2021,3,1,1,0
410,018T,8069,8069,2017,2,2017,2,1,1,0
411,018V,8061,8065,2015,2,2016,2,2,5,3
412,018W,8021,8021,2005,2,2005,2,1,1,0
413,018Y,8029,8034,2007,2,2008,3,4,6,2
414,018Z,8078,8083,2019,3,2020,4,4,6,2
415,019A,8057,8078,2014,2,2019,3,14,22,8
416,019B,8025,8031,2006,2,2007,4,7,7,0
417,019C,8066,8069,2016,3,2017,2,3,4,1
418,019D,8091,8091,2022,4,2022,4,1,1,0
419,019E,8053,8089,2013,2,2022,2,8,37,29
420,019F,8041,8041,2010,2,2010,2,1,1,0
421,019G,8013,8022,2003,2,2005,3,6,10,4
422,019H,8082,8087,2020,3,2021,4,6,6,0
423,019K,8049,8049,2012,2,2012,2,1,1,0
424,019L,8046,8058,2011,3,2014,3,3,13,10
425,019M,8073,8078,2018,2,2019,3,5,6,1
426,019N,8038,8042,2009,3,2010,3,4,5,1
427,019P,8033,8061,2008,2,2015,2,10,29,19
428,019Q,8098,8098,2024,3,2024,3,1,1,0
429,019R,8017,8034,2004,2,2008,3,5,18,13
430,019S,8086,8086,2021,3,2021,3,1,1,0
431,019T,8070,8073,2017,3,2018,2,2,4,2
432,019V,8061,8067,2015,2,2016,4,4,7,3
433,019W,8021,8021,2005,2,2005,2,1,1,0
434,019Y,8029,8031,2007,2,2007,4,3,3,0
435,019Z,8078,8078,2019,3,2019,3,1,1,0
436,020A,8057,8062,2014,2,2015,3,6,6,0
437,020B,8025,8035,2006,2,2008,4,8,11,3
438,020C,8066,8074,2016,3,2018,3,6,9,3
439,020D,8091,8098,2022,4,2024,3,5,8,3
440,020E,8053,8058,2013,2,2014,3,5,6,1
441,020F,8043,8048,2010,4,2012,1,6,6,0
442,020G,8013,8016,2003,2,2004,1,3,4,1
443,020H,8082,8087,2020,3,2021,4,6,6,0
444,020K,8049,8049,2012,2,2012,2,1,1,0
445,020L,8046,8078,2011,3,2019,3,15,33,18
446,020M,8073,8082,2018,2,2020,3,5,10,5
447,020N,8038,8050,2009,3,2012,3,6,13,7
448,020P,8033,8040,2008,2,2010,1,5,8,3
449,020Q,8098,8099,2024,3,2024,4,2,2,0
450,020R,8017,8018,2004,2,2004,3,2,2,0
451,020S,8086,8091,2021,3,2022,4,3,6,3
452,020T,8070,8083,2017,3,2020,4,12,14,2
453,020V,8061,8067,2015,2,2016,4,3,7,4
454,020W,8021,8021,2005,2,2005,2,1,1,0
455,020Y,8029,8046,2007,2,2011,3,14,18,4
456,020Z,8078,8079,2019,3,2019,4,2,2,0
457,021A,8057,8058,2014,2,2014,3,2,2,0
458,021B,8025,8047,2006,2,2011,4,12,23,11
459,021C,8066,8078,2016,3,2019,3,10,13,3
460,021D,8091,8093,2022,4,2023,2,2,3,1
461,021E,8053,8060,2013,2,2015,1,7,8,1
462,021F,8042,8049,2010,3,2012,2,5,8,3
463,021G,8013,8015,2003,2,2003,4,3,3,0
464,021H,8082,8095,2020,3,2023,4,5,14,9
465,021K,8049,8051,2012,2,2012,4,3,3,0
466,021L,8046,8072,2011,3,2018,1,12,27,15
467,021M,8073,8074,2018,2,2018,3,2,2,0
468,021N,8038,8039,2009,3,2009,4,2,2,0
469,021P,8033,8037,2008,2,2009,2,5,5,0
470,021Q,8098,8103,2024,3,2025,4,4,6,2
471,021R,8017,8017,2004,2,2004,2,1,1,0
472,021S,8086,8089,2021,3,2022,2,3,4,1
473,021T,8070,8079,2017,3,2019,4,9,10,1
474,021V,8061,8073,2015,2,2018,2,10,13,3
475,021W,8021,8022,2005,2,2005,3,2,2,0
476,021Y,8029,8031,2007,2,2007,4,3,3,0
477,021Z,8078,8090,2019,3,2022,3,7,13,6
478,022A,8057,8065,2014,2,2016,2,7,9,2
479,022B,8025,8055,2006,2,2013,4,8,31,23
480,022C,8066,8075,2016,3,2018,4,4,10,6
481,022E,8053,8068,2013,2,2017,1,11,16,5
482,022F,8042,8054,2010,3,2013,3,8,13,5
483,022G,8013,8037,2003,2,2009,2,12,25,13
484,022H,8082,8082,2020,3,2020,3,1,1,0
485,022K,8049,8049,2012,2,2012,2,1,1,0
486,022L,8046,8049,2011,3,2012,2,3,4,1
487,022M,8073,8073,2018,2,2018,2,1,1,0
488,022N,8038,8049,2009,3,2012,2,6,12,6
489,022P,8033,8050,2008,2,2012,3,6,18,12
490,022Q,8098,8102,2024,3,2025,3,3,5,2
491,022R,8017,8017,2004,2,2004,2,1,1,0
492,022S,8086,8089,2021,3,2022,2,3,4,1
493,022T,8070,8071,2017,3,2017,4,2,2,0
494,022V,8061,8061,2015,2,2015,2,1,1,0
495,022W,8021,8022,2005,2,2005,3,2,2,0
496,022Y,8029,8030,2007,2,2007,3,2,2,0
497,022Z,8078,8083,2019,3,2020,4,4,6,2
498,023A,8057,8064,2014,2,2016,1,6,8,2
499,023B,8025,8036,2006,2,2009,1,11,12,1
500,023C,8066,8071,2016,3,2017,4,5,6,1
501,023E,8053,8056,2013,2,2014,1,2,4,2
502,023F,8042,8046,2010,3,2011,3,5,5,0
503,023G,8013,8013,2003,2,2003,2,1,1,0
504,023H,8082,8101,2020,3,2025,2,4,20,16
505,023K,8049,8049,2012,2,2012,2,1,1,0
506,023L,8046,8050,2011,3,2012,3,4,5,1
507,023M,8073,8083,2018,2,2020,4,8,11,3
508,023N,8039,8057,2009,4,2014,2,10,19,9
509,023P,8033,8044,2008,2,2011,1,8,12,4
510,023Q,8098,8101,2024,3,2025,2,3,4,1
511,023R,8017,8020,2004,2,2005,1,3,4,1
512,023S,8086,8086,2021,3,2021,3,1,1,0
513,023T,8070,8074,2017,3,2018,3,3,5,2
514,023V,8061,8067,2015,2,2016,4,4,7,3
515,023W,8021,8021,2005,2,2005,2,1,1,0
516,023Y,8029,8043,2007,2,2010,4,5,15,10
517,023Z,8078,8087,2019,3,2021,4,7,10,3
518,024A,8057,8058,2014,2,2014,3,2,2,0
519,024B,8025,8057,2006,2,2014,2,13,33,20
520,024C,8066,8072,2016,3,2018,1,6,7,1
521,024E,8053,8067,2013,2,2016,4,6,15,9
