previous_sett,Sett_Clean,n
HUNTINGGATE,HUNTINGGATE,5
KENNEL,WOODRUSH,5
NETTLE,DAM,5
NETTLE,OLDOAK,5
OLDOAK,NETTLE,5
OPEN,OPEN,5
PEGLARS,KENNEL,5
POPLAR,TAXUS,5
RABBIT,BOXWOOD,5
TAXUS,POPLAR,5
TRACKSIDE,OLDCOLEPARK,5
ARTHURS,BANK,4
BENCH,BOX,4
BENCH,WEST,4
BOUNDARYCOURT,GULLY,4
BREAKHEART,BREAKHEART,4
CEDAR,OLDPONDDRAIN,4
CHAIN,CHAIN,4
COLEPARK,TRACKSIDE,4
COLLIERSWOOD,WOODRUSH,4
FOX,RABBIT,4
HOLLOWTREE,HOLLOWTREE,4
HOLLYWOOD,HEDGE,4
KENNEL,OLDOAK,4
KENNEL,POPLAR,4
LAURELS,YEW,4
MAID,KENNEL,4
MEAD,BANK,4
PONTINS,BOG,4
STREAM,BUNGALOW,4
TAXUS,CHERRIES,4
TAXUS,WYCHELM,4
TODDS,ARTHURS,4
TOP,POPLAR,4
TOP,SAPLING,4
TRACKSIDE,COLEPARK,4
WEST,CARPARK,4
WYCHELM,TOP,4
YEW,LAURELS,4
ARTHURS,BEECH,3
ARTHURS,TODDS,3
BEND,HONEYWELL,3
BOG,PEGLARS,3
BOX,BEECH,3
BRACKEN,SEPTICTANK,3
BRAMBLE,BRAMBLE,3
BRAMBLE,MEAD,3
BREAKHEART,BOXWOOD,3
BREAKHEART,HONEYWELL,3
BUCKHOLT,WEST,3
BULLPEN,BOXWOOD,3
CEDAR,BRACKEN,3
CEDAR,FOX,3
CEDAR,SYCAMORE,3
CHERRIES,TAXUS,3
COLEPARK,HONEYWELL,3
CORRAL,CORRAL,3
DINGLE,DARKWOOD,3
GULLY,GULLY,3
HEDGE,THISTLEWOODBANK,3
HONEYWELL,BREAKHEART,3
HUNTINGGATE,LAURELS,3
JUNCTION,ARTHURS,3
LARCH,BENCH,3
LAURELS,BRACKEN,3
NETTLE,LINSEED,3
OAKPILE,COLEPARK,3
OAKPILE,OAKPILE,3
OLDCOLEPARK,TRACKSIDE,3
OLDOAK,ATCOMBEWEST,3
POPLAR,KENNEL,3
SAPLING,TOP,3
SEPTICTANK,FERN,3
TOP,KENNEL,3
VINE,HONEYWELL,3
WALL,ATCOMBEWEST,3
WASPNEST,JACKSMIREY,3
WEST,BOX,3
WEST,LARCH,3
WOODMANS,OLDOAK,3
WYCHELM,TAXUS,3
WYCHELM,YEW,3
YEW,POPLAR,3
ARTHURS,JUNCTION,2
ARTHURS,OPEN,2
ARTHURS,TIP,2
ATCOMBECORNER,WALL,2
ATCOMBEWEST,NETTLE,2
ATCOMBEWEST,OLDOAK,2
BANK,BANK,2
BANK,MEAD,2
BEECH,CEDAR,2
BENCH,LARCH,2
BEND,CHAIN,2
BOG,WINDFALL,2
BOUNDARYCOURT,BOUNDARYCOURT,2
BOX,BOXER,2
BOX,BUCKHOLT,2
BOX,RABBIT,2
BOXER,BOX,2
BOXWOOD,BREAKHEART,2
BOXWOOD,FOX,2
BRACKEN,OLDPONDDRAIN,2
BULLPEN,BREAKHEART,2
BULLPEN,CEDAR,2
CARPARK,CARPARK,2
CEDAR,BEECH,2
CEDAR,BULLPEN,2
CEDAR,SEPTICTANK,2
CHESNUT,BOX,2
CHESNUT,LARCH,2
COLEPARK,CHAIN,2
COLEPARK,OLDCOLEPARK,2
COLLIERSWOOD,PEGLARS,2
CULDESAC,CULDESAC,2
DAM,LINSEED,2
DOLINE,DOLINE,2
EARTH,THISTLEWOODBANK,2
FERN,LAURELS,2
FERN,TAXUS,2
GIANTBEECH,COLEPARK,2
GULLY,BOUNDARYCOURT,2
HONEYWELL,VINE,2
INCHBROOK,PARKMILL,2
JACKSMIREY,ARTHURS,2
JACKSMIREY,TODDS,2
JACKSMIREY,WASPNEST,2
LARCH,BEECH,2
LARCH,CHESNUT,2
LAURELS,RABBIT,2
LAURELS,RUSTYTRAP,2
LINSEED,NETTLE,2
NEEDLES,TOP,2
NEEDLES,WYCHELM,2
NETTLE,TOPOAK,2
NEWFENCE,CHESNUT,2
OLDCOLEPARK,COLEPARK,2
OLDCOLEPARK,OLDCOLEPARK,2
OLDOAK,KENNEL,2
OLDOAK,TRACKSIDE,2
OLDOAK,WOODMANS,2
OLDPONDDRAIN,CEDAR,2
OLDPONDDRAIN,CHERRIES,2
OLDPONDDRAIN,YEW,2
PEGLARS,COLLIERSWOOD,2
PONTINS,PONTINS,2
POPLAR,BOG,2
POPLAR,YEW,2
PRIORY,PRIORY,2
RABBIT,BOX,2
RABBIT,FOX,2
RABBIT,LAURELS,2
RUSTYTRAP,RUSTYTRAP,2
SEPTICTANK,RABBIT,2
SEPTICTANK,TOP,2
SYCAMORE,CEDAR,2
SYCAMORE,RABBIT,2
THICKET,JACKSMIREY,2
THISTLEWOODBANK,HEDGE,2
TOPOAK,COLEPARK,2
WEST,BENCH,2
WEST,CHESNUT,2
WEST,JACOBS,2
WINDFALL,BOG,2
WOODFARM,PARKMILL,2
YEW,ASHTREE,2
YEW,HEDGE,2
YEW,THISTLEWOODBANK,2
ARTHURS,JACKSMIREY,1
ARTHURS,OLDPONDDRAIN,1
ARTHURS,PEGLARS,1
ARTHURS,WASPNEST,1
BAMBOO,BUNGALOW,1
BAMBOO,DINGLE,1
BANK,BRAMBLE,1
BANK,JUNCTION,1
BEECH,ARTHURS,1
BEECH,BRACKEN,1
BEECH,COLEPARK,1
BEECH,HEDGE,1
BEECH,HUNTINGGATE,1
BEECH,LAURELS,1
BEECH,NEWFENCE,1
BEECH,OLDPONDDRAIN,1
BEECH,SEPTICTANK,1
BEECH,THISTLEWOODBANK,1
BENCH,BOXER,1
BEND,BREAKHEART,1
BOG,WYCHELM,1
BOUNDARY,ATCOMBEWEST,1
BOX,BULLPEN,1
BOX,CARTON,1
BOX,CEDAR,1
BOX,CHESNUT,1
BOX,JACKSMIREY,1
BOX,JACOBS,1
BOXWOOD,BULLPEN,1
BOXWOOD,FERN,1
BOXWOOD,HONEYWELL,1
BOXWOOD,LEBANON,1
BOXWOOD,OLDPONDDRAIN,1
BOXWOOD,SYCAMORE,1
BRACKEN,BEECH,1
BRACKEN,BRACKEN,1
BRACKEN,CEDAR,1
BRACKEN,FERN,1
BRACKEN,HUNTINGGATE,1
BRACKEN,LAURELS,1
BREAKHEART,CEDAR,1
BREAKHEART,CHAIN,1
BREAKHEART,SYCAMORE,1
BUCKHOLT,BUCKHOLT,1
BULLPEN,BULLPEN,1
BULLPEN,OLDPONDDRAIN,1
CARPARK,CORRAL,1
CARPARK,WEST,1
CARTON,BOX,1
CEDAR,BENCH,1
CEDAR,CHESNUT,1
CEDAR,FERN,1
CEDAR,HUNTINGGATE,1
CEDAR,MEAD,1
CHAIN,BEND,1
CHAIN,TRACKSIDE,1
CHERRIES,COLEPARK,1
CHERRIES,WYCHELM,1
CHERRIES,YEW,1
CHESNUT,CEDAR,1
CHESNUT,LAURELS,1
CLAY,WASPNEST,1
COLEPARK,BEECH,1
COLEPARK,BREAKHEART,1
COLEPARK,GIANTBEECH,1
COLEPARK,OLDPONDDRAIN,1
COLEPARK,TOPOAK,1
COLEPARK,YEW,1
COLLIERSWOOD,DAM,1
COLLIERSWOOD,SCRUB,1
COLLIERSWOOD,TOP,1
COMPLEX,BOX,1
COMPLEX,LARCH,1
CORRAL,BENCH,1
CORRAL,CARPARK,1
CULDESAC,NEEDLES,1
DAM,COLLIERSWOOD,1
DAM,HOLLOWTREE,1
DAM,OLDOAK,1
DAM,PARKMILL,1
DARKWOOD,DINGLE,1
DINGLE,WINDSOREDGE,1
DOLINE,NEEDLES,1
EARTH,OPEN,1
FERN,FERN,1
FERN,RABBIT,1
FERN,SEPTICTANK,1
FIELDFARM,DINGLE,1
FIELDFARM,HOLLYWOOD,1
FIELDFARM,JACKSMIREY,1
FIELDFARM,SINGLE,1
FORK,HOGARTHS,1
FORK,WOODMANS,1
FOX,BOX,1
FOX,CEDAR,1
FOX,FOX,1
GIANTBEECH,TRACKSIDE,1
HEDGE,BEECH,1
HEDGE,FIELDFARM,1
HEDGE,HOLLYWOOD,1
HEDGE,TAXUS,1
HEDGE,YEW,1
HOGARTHS,WOODRUSH,1
HOLLOWTREE,DAM,1
HOLLOWTREE,LINSEED,1
HOLLOWTREE,OLDOAK,1
HOLLOWTREE,SCOTLANDBANK,1
HONEYWELL,BOXWOOD,1
HONEYWELL,OLDCOLEPARK,1
HUNTINGGATE,OLDPONDDRAIN,1
HUNTINGGATE,RUSTYTRAP,1
HUNTINGGATE,WEST,1
HUNTINGGATE,YEW,1
HURDLES,NETTLE,1
JACKSMIREY,BUSH,1
JACKSMIREY,CLAY,1
JACKSMIREY,LARCH,1
JACKSMIREY,STREAM,1
JACOBS,BOX,1
JACOBS,WEST,1
JUNCTION,EARTH,1
JUNCTION,POPLAR,1
KENNEL,CHERRIES,1
KENNEL,PARKMILL,1
KENNEL,TAXUS,1
KENNEL,TOP,1
KENNEL,TOPOAK,1
KENNEL,WOODMANS,1
LARCH,BOG,1
LARCH,CEDAR,1
LARCH,FORK,1
LARCH,GROUNDSTUMP,1
LARCH,NEWFENCE,1
LARCH,WYCHELM,1
LAURELS,BOX,1
LAURELS,HUNTINGGATE,1
LAURELS,TAXUS,1
LINSEED,LINSEED,1
LINSEED,OLDOAK,1
LISTERS,DINGLE,1
LISTERS,WOODFARM,1
MAID,TRACKSIDE,1
MANSION,LARCH,1
MEAD,TIP,1
NEEDLES,NEEDLES,1
NEEDLES,OLDOAK,1
NEEDLES,POPLAR,1
NETTLE,ATCOMBEWEST,1
NETTLE,KENNEL,1
NEWFENCE,BOX,1
NEWFENCE,NEWFENCE,1
OAKPILE,TRACKSIDE,1
OLDCOLEPARK,HONEYWELL,1
OLDOAK,HOLLOWTREE,1
OLDOAK,LINSEED,1
OLDPONDDRAIN,HUNTINGGATE,1
OLDPONDDRAIN,RABBIT,1
OLDPONDDRAIN,TAXUS,1
OPEN,ARTHURS,1
PARKMILL,BAMBOO,1
PARKMILL,INCHBROOK,1
PARKMILL,SANDY,1
PEGLARS,ARTHURS,1
PEGLARS,FORK,1
PEGLARS,TOP,1
PONTINS,WYCHELM,1
POPLAR,OLDCOLEPARK,1
POPLAR,STONEYTRACK,1
POPLAR,TRACKSIDE,1
PYLON,PYLON,1
QUARRY,LINSEED,1
RABBIT,BREAKHEART,1
RABBIT,BULLPEN,1
RABBIT,CHESNUT,1
RABBIT,SEPTICTANK,1
RUSTYTRAP,LAURELS,1
RUSTYTRAP,OLDPONDDRAIN,1
RUSTYTRAP,SEPTICTANK,1
SAPLING,HEDGE,1
SCOTLANDBANK,BRAMBLE,1
SCOTLANDBANK,NETTLE,1
SCOTLANDBANK,PYLON,1
SCRUB,SCRUB,1
SEPTICTANK,BRACKEN,1
SEPTICTANK,BULLPEN,1
SEPTICTANK,CEDAR,1
SEPTICTANK,POPLAR,1
SEPTICTANK,RUSTYTRAP,1
SEPTICTANK,THISTLEWOODBANK,1
STONEYTRACK,YEW,1
STREAM,DINGLE,1
STREAM,JACKSMIREY,1
SYCAMORE,BOXWOOD,1
TAXUS,ASHTREE,1
TAXUS,BRAMBLE,1
TAXUS,CEDAR,1
TAXUS,HEDGE,1
TAXUS,HONEYWELL,1
TAXUS,HUNTINGGATE,1
TAXUS,LAURELS,1
TAXUS,SAPLING,1
THISTLEWOODBANK,EARTH,1
THISTLEWOODBANK,YEW,1
TODDS,JACKSMIREY,1
TODDS,MEAD,1
TODDS,TODDS,1
TOPOAK,BAMBOO,1
TOPOAK,KENNEL,1
TOPOAK,POPLAR,1
TOPOAK,TOP,1
TOPOAK,TRACKSIDE,1
TOPOAK,WOODMANS,1
TRACKSIDE,HOLLOWTREE,1
TRACKSIDE,MAID,1
TRACKSIDE,OAKPILE,1
TRACKSIDE,OLDOAK,1
WALL,NETTLE,1
WALL,WALL,1
WEST,BOXER,1
WEST,BUCKHOLT,1
WEST,HUNTINGGATE,1
WEST,POPLAR,1
WEST,SPUR,1
WINDFALL,PONTINS,1
WINDSOREDGE,COLLIERSWOOD,1
WINDSOREDGE,SCOTLANDBANK,1
WINDSOREDGE,WEST,1
WOODFARM,COLLIERSWOOD,1
WOODFARM,HOPPER,1
WOODMANS,KENNEL,1
WOODMANS,WOODRUSH,1
WOODRUSH,KENNEL,1
WYCHELM,BOG,1
WYCHELM,JUNCTION,1
WYCHELM,NEEDLES,1
WYCHELM,OLDOAK,1
WYCHELM,PEGLARS,1
WYCHELM,PONTINS,1
WYCHELM,TRACKSIDE,1
XMASTREE,OLDOAK,1
YEW,BEECH,1
YEW,BRACKEN,1
YEW,CHERRIES,1
YEW,CHESNUT,1
YEW,COLEPARK,1
YEW,KENNEL,1
YEW,OLDPONDDRAIN,1
YEW,WYCHELM,1
