CaptureDate,BadgerID,TestType,SampleType,VisualLine1,OpticalDensity1,VisualLine2,OpticalDensity2,PM
03/06/2014,010E,Double,WB Field,N,42.57,N,0,No
03/06/2014,010E,Double,Whole Blood,P,433.99,N,0,No
03/06/2014,010E,Single,Serum Fresh,P,44.61,,0,No
03/06/2014,010P,Double,Serum Frozen,N,0,N,1.3,No
03/06/2014,010P,Double,Whole Blood,N,142.44,N,0,No
03/06/2014,010P,Single,Serum Fresh,N,18.03,,0,No
03/06/2014,011A,Double,Serum Frozen,N,0,N,9.02,No
03/06/2014,011A,Double,Whole Blood,N,60.52,N,0,No
03/06/2014,011A,Single,Serum Fresh,N,0,,0,No
03/06/2014,013E,Double,Serum Frozen,N,0,N,7.8,No
03/06/2014,013E,Double,WB Field,N,81.87,N,0,No
03/06/2014,013E,Double,Whole Blood,N,58.75,N,6.61,No
03/06/2014,013E,Single,Serum Fresh,N,3.92,,0,No
03/06/2014,015P,Double,Serum Frozen,N,0,N,0,No
03/06/2014,015P,Double,Whole Blood,N,52.3,N,0,No
03/06/2014,015P,Single,Serum Fresh,N,7.48,,0,No
03/06/2014,032E,Double,Serum Frozen,N,0,N,0,No
03/06/2014,032E,Double,Whole Blood,N,41.48,N,0,No
03/06/2014,032E,Single,Serum Fresh,N,0,,0,No
03/06/2014,052K,Double,Serum Frozen,N,0,N,0,No
03/06/2014,052K,Double,Whole Blood,N,34.52,N,0,No
03/06/2014,052K,Single,Serum Fresh,N,10.68,,0,No
04/06/2014,009P,Double,Serum Frozen,N,0,N,0,No
04/06/2014,009P,Double,Whole Blood,P,168.93,N,0,No
04/06/2014,009P,Single,Serum Fresh,N,3.91,,0,No
04/06/2014,012A,Double,Serum Frozen,N,0,N,12.35,No
04/06/2014,012A,Double,Whole Blood,N,63.47,N,7.61,No
04/06/2014,012A,Single,Serum Fresh,N,0.49,,0,No
04/06/2014,013A,Double,Serum Frozen,N,0,N,0,No
04/06/2014,013A,Double,Whole Blood,N,151.33,N,4.02,No
04/06/2014,013A,Single,Serum Fresh,N,4.3,,0,No
04/06/2014,036L,Double,Serum Frozen,N,0,N,0,No
04/06/2014,036L,Double,Whole Blood,N,43.65,N,2.52,No
04/06/2014,036L,Single,Serum Fresh,N,5.24,,0,No
04/06/2014,050K,Double,Serum Frozen,N,0,N,7.99,No
04/06/2014,050K,Double,Whole Blood,N,45.94,N,2.08,No
04/06/2014,050K,Single,Serum Fresh,N,16.51,,0,No
24/06/2014,001P,Double,Serum Frozen,P,4425.1,P,3822.77,No
24/06/2014,001P,Double,Whole Blood,P,5400.59,P,4515.84,No
24/06/2014,001P,Single,Serum Fresh,P,118.89,,0,No
24/06/2014,005L,Double,Serum Frozen,N,0,N,0,No
24/06/2014,005L,Double,Whole Blood,N,54.93,N,5.72,No
24/06/2014,005L,Single,Serum Fresh,N,17.99,,0,No
24/06/2014,014A,Double,Serum Frozen,N,0,P,399.5,No
24/06/2014,014A,Double,Whole Blood,N,69.83,N,89.73,No
24/06/2014,014A,Single,Serum Fresh,N,18.33,,0,No
24/06/2014,015A,Double,Serum Frozen,N,0,N,0,No
24/06/2014,015A,Double,Whole Blood,N,47.24,N,0,No
24/06/2014,015A,Single,Serum Fresh,N,7.98,,0,No
24/06/2014,016A,Double,Serum Frozen,N,0,N,0,No
24/06/2014,016A,Double,Whole Blood,N,29.96,N,0,No
24/06/2014,016A,Single,Serum Fresh,N,7.8,,0,No
24/06/2014,017A,Double,Serum Frozen,N,0,P,43.06,No
24/06/2014,017A,Double,Whole Blood,N,82.1,N,0,No
24/06/2014,017A,Single,Serum Fresh,N,2.12,,0,No
24/06/2014,018A,Double,Serum Frozen,N,0,N,0,No
24/06/2014,018A,Double,Whole Blood,N,58.27,N,0,No
24/06/2014,018A,Single,Serum Fresh,N,11.18,,0,No
24/06/2014,019A,Double,Serum Frozen,N,0,N,9.56,No
24/06/2014,019A,Double,Whole Blood,N,59.47,N,22.3,No
24/06/2014,019A,Single,Serum Fresh,N,0,,0,No
24/06/2014,019E,Double,Serum Frozen,N,0,N,51.15,No
24/06/2014,019E,Double,Whole Blood,N,59.44,N,15.2,No
24/06/2014,019E,Single,Serum Fresh,P,46.78,,0,No
24/06/2014,020A,Double,Serum Frozen,N,0,N,0,No
24/06/2014,020A,Double,Whole Blood,N,50.2,N,0,No
24/06/2014,020A,Single,Serum Fresh,N,0,,0,No
24/06/2014,020E,Double,Serum Frozen,N,0,P,35.58,No
24/06/2014,020E,Double,Whole Blood,N,37.62,N,0,No
24/06/2014,020E,Single,Serum Fresh,N,4.18,,0,No
24/06/2014,021A,Double,Serum Frozen,N,0,N,0,No
24/06/2014,021A,Double,Whole Blood,N,40.27,N,1.24,No
24/06/2014,021A,Single,Serum Fresh,P,21.75,,0,No
24/06/2014,021E,Double,Serum Frozen,P,696.51,N,5.19,No
24/06/2014,021E,Double,Whole Blood,P,890.19,N,62.45,No
24/06/2014,021E,Single,Serum Fresh,P,346.06,,0,No
24/06/2014,022A,Double,Serum Frozen,P,120.39,N,1.22,No
24/06/2014,022A,Double,Whole Blood,N,55.2,N,7.91,No
24/06/2014,022A,Single,Serum Fresh,N,11.26,,0,No
24/06/2014,022E,Double,Serum Frozen,P,112.29,N,29.7,No
24/06/2014,022E,Double,Whole Blood,N,62.24,N,17.05,No
24/06/2014,022E,Single,Serum Fresh,P,83.44,,0,No
24/06/2014,023A,Double,Serum Frozen,P,886.21,N,18.88,No
24/06/2014,023A,Double,Whole Blood,P,728.86,N,0,No
24/06/2014,023A,Single,Serum Fresh,P,19.22,,0,No
24/06/2014,024B,Double,Serum Frozen,P,2825.4,N,44.66,No
24/06/2014,024B,Double,Whole Blood,P,1298.76,N,3.96,No
24/06/2014,024B,Single,Serum Fresh,P,178.43,,0,No
24/06/2014,026E,Double,Serum Frozen,N,0,N,1.49,No
24/06/2014,026E,Double,Whole Blood,N,28.61,N,0,No
24/06/2014,026E,Single,Serum Fresh,N,8.37,,0,No
24/06/2014,027E,Double,Serum Frozen,N,0,N,0,No
24/06/2014,027E,Double,Whole Blood,N,56.85,N,1.55,No
24/06/2014,027E,Single,Serum Fresh,N,8.07,,0,No
24/06/2014,035K,Double,Serum Frozen,N,0,P,30.94,No
24/06/2014,035K,Double,Whole Blood,N,40.12,N,0,No
24/06/2014,035K,Single,Serum Fresh,N,7.41,,0,No
24/06/2014,042E,Double,Serum Frozen,N,0,N,7.9,No
24/06/2014,042E,Double,Whole Blood,N,43.75,N,58.9,No
24/06/2014,042E,Single,Serum Fresh,N,7.65,,0,No
24/06/2014,046E,Double,Serum Frozen,N,0,N,4.67,No
24/06/2014,046E,Double,Whole Blood,N,29.07,N,0.56,No
24/06/2014,046E,Single,Serum Fresh,N,4.95,,0,No
24/06/2014,051E,Double,Serum Frozen,N,0,N,0,No
24/06/2014,051E,Double,Whole Blood,N,61.28,N,0,No
24/06/2014,051E,Single,Serum Fresh,N,3.91,,0,No
24/06/2014,053K,Double,Serum Frozen,N,0,N,0,No
24/06/2014,053K,Double,Whole Blood,N,42.87,N,2.39,No
24/06/2014,053K,Single,Serum Fresh,N,4.32,,0,No
24/06/2014,054K,Double,Serum Frozen,N,14.36,N,0,No
24/06/2014,054K,Double,Whole Blood,N,48.7,N,0,No
24/06/2014,054K,Single,Serum Fresh,N,8.16,,0,No
24/06/2014,056E,Double,Serum Frozen,N,0,N,4.4,No
24/06/2014,056E,Double,Whole Blood,N,57.97,N,0,No
24/06/2014,056E,Single,Serum Fresh,N,9.16,,0,No
24/06/2014,063W,Double,Serum Frozen,N,16.64,N,0,No
24/06/2014,063W,Double,Whole Blood,N,85.06,N,4.15,No
24/06/2014,063W,Single,Serum Fresh,N,6.71,,0,No
24/06/2014,070P,Double,Serum Frozen,N,0,N,0,No
24/06/2014,070P,Double,Whole Blood,N,49.56,N,0,No
24/06/2014,070P,Single,Serum Fresh,N,4.23,,0,No
25/06/2014,024A,Double,Serum Frozen,P,73.23,N,13.3,No
25/06/2014,024A,Double,Whole Blood,N,43.71,N,0,No
25/06/2014,024A,Single,Serum Fresh,P,35.35,,0,No
25/06/2014,025A,Double,Serum Frozen,N,12.03,P,103.6,No
25/06/2014,025A,Double,Whole Blood,P,44.24,N,0,No
25/06/2014,025A,Single,Serum Fresh,P,45.84,,0,No
25/06/2014,026A,Double,Serum Frozen,N,0,P,71.05,No
25/06/2014,026A,Double,Whole Blood,N,74.53,N,0,No
25/06/2014,026A,Single,Serum Fresh,N,9.24,,0,No
25/06/2014,027A,Double,Serum Frozen,N,4.24,N,44.82,No
25/06/2014,027A,Double,Whole Blood,N,43.96,N,4.23,No
25/06/2014,027A,Single,Serum Fresh,P,44.82,,0,No
25/06/2014,028A,Double,Serum Frozen,N,0,N,15.98,No
25/06/2014,028A,Double,Whole Blood,N,41.47,N,0,No
25/06/2014,028A,Single,Serum Fresh,N,1.72,,0,No
25/06/2014,028F,Double,Serum Frozen,P,5471.54,N,0,No
25/06/2014,028F,Double,Whole Blood,P,2443.57,N,0,No
25/06/2014,028F,Single,Serum Fresh,P,756.71,,0,No
25/06/2014,029A,Double,Serum Frozen,N,0,P,42.95,No
25/06/2014,029A,Double,Whole Blood,N,45.03,N,0,No
25/06/2014,029A,Single,Serum Fresh,N,4.45,,0,No
25/06/2014,039K,Double,Serum Frozen,P,2225.52,N,0,No
25/06/2014,039K,Double,Whole Blood,P,1176.74,N,0,No
25/06/2014,039K,Single,Serum Fresh,P,161.83,,0,No
25/06/2014,047E,Double,Serum Frozen,N,0,P,94.29,No
25/06/2014,047E,Double,Whole Blood,N,48.45,N,5.32,No
25/06/2014,047E,Single,Serum Fresh,N,17.6,,0,No
12/08/2014,002A,Double,Serum Frozen,N,0,N,10.94,No
12/08/2014,002A,Double,Whole Blood,N,30.22,N,10.12,No
12/08/2014,002A,Single,Serum Fresh,N,0,,0,No
12/08/2014,002E,Double,Serum Frozen,P,6592.13,N,0,No
12/08/2014,002E,Double,Whole Blood,P,6862.15,N,0,No
12/08/2014,002E,Single,Serum Fresh,P,1755.7,,0,No
12/08/2014,003A,Double,Serum Frozen,N,0,P,94.76,No
12/08/2014,003A,Double,Whole Blood,N,45.76,N,20.9,No
12/08/2014,003A,Single,Serum Fresh,N,9.76,,0,No
12/08/2014,004A,Double,Serum Frozen,N,0,N,8.5,No
12/08/2014,004A,Double,Whole Blood,N,42.12,N,0,No
12/08/2014,004A,Single,Serum Fresh,N,8.48,,0,No
12/08/2014,005A,Double,Serum Frozen,N,0,N,15.9,No
12/08/2014,005A,Double,Whole Blood,N,56.37,N,0.61,No
12/08/2014,005A,Single,Serum Fresh,N,4.37,,0,No
12/08/2014,006A,Double,Serum Frozen,N,0,N,0,No
12/08/2014,006A,Double,Whole Blood,N,32.96,N,0,No
12/08/2014,006A,Single,Serum Fresh,N,0,,0,No
12/08/2014,012E,Double,Serum Frozen,N,0,N,17.07,No
12/08/2014,012E,Double,Whole Blood,P,717.83,N,14.24,No
12/08/2014,012E,Single,Serum Fresh,N,6.08,,0,No
12/08/2014,025E,Double,Serum Frozen,N,0,N,17.61,No
12/08/2014,025E,Double,Whole Blood,N,27.9,N,0,No
12/08/2014,025E,Single,Serum Fresh,N,12.52,,0,No
12/08/2014,029E,Double,Serum Frozen,P,268.75,N,0,No
12/08/2014,029E,Double,Whole Blood,P,594.91,N,0,No
12/08/2014,029E,Single,Serum Fresh,N,0.33,,0,No
12/08/2014,030A,Double,Serum Frozen,N,0,N,0,No
12/08/2014,030A,Double,Whole Blood,P,319.12,N,0,No
12/08/2014,030A,Single,Serum Fresh,N,2.26,,0,No
12/08/2014,030L,Double,Serum Frozen,N,0,N,0.54,No
12/08/2014,030L,Double,Whole Blood,N,129.49,N,69.91,No
12/08/2014,030L,Single,Serum Fresh,N,0,,0,No
12/08/2014,031A,Double,Serum Frozen,P,106.67,N,3.21,No
12/08/2014,031A,Double,Whole Blood,P,591.17,N,0.66,No
12/08/2014,031A,Single,Serum Fresh,P,61.43,,0,No
12/08/2014,032A,Double,Serum Frozen,N,0,N,9.38,No
12/08/2014,032A,Double,Whole Blood,N,37.28,N,2.97,No
12/08/2014,032A,Single,Serum Fresh,N,0,,0,No
12/08/2014,037E,Double,Serum Frozen,P,500.16,N,9.54,No
12/08/2014,037E,Double,Whole Blood,P,456.26,N,0,No
12/08/2014,037E,Single,Serum Fresh,P,29.23,,0,No
13/08/2014,007A,Double,Serum Frozen,P,5770.87,N,16.32,No
13/08/2014,007A,Double,Whole Blood,P,5321.48,N,0,No
13/08/2014,007A,Single,Serum Fresh,P,557.67,,0,No
13/08/2014,012L,Double,Serum Frozen,N,0,N,42.42,No
13/08/2014,012L,Double,Whole Blood,P,120.36,P,448.87,No
13/08/2014,012L,Single,Serum Fresh,N,4.07,,0,No
13/08/2014,016P,Double,Serum Frozen,N,0,N,0,No
13/08/2014,016P,Double,Whole Blood,P,117.74,P,125.82,No
13/08/2014,016P,Single,Serum Fresh,N,4.79,,0,No
13/08/2014,033A,Double,Serum Frozen,N,4.84,N,14.13,No
13/08/2014,033A,Double,Whole Blood,P,240.05,N,0,No
13/08/2014,033A,Single,Serum Fresh,N,2.67,,0,No
13/08/2014,034A,Double,Serum Frozen,N,0,N,6.51,No
13/08/2014,034A,Double,Whole Blood,N,28.42,N,0,No
13/08/2014,034A,Single,Serum Fresh,N,1.21,,0,No
13/08/2014,049B,Double,Serum Frozen,N,0,N,0,No
13/08/2014,049B,Double,Whole Blood,P,173.65,N,0,No
13/08/2014,049B,Single,Serum Fresh,P,102.8,,0,No
14/08/2014,024Y,Double,Serum Frozen,P,317.4,N,0,No
14/08/2014,024Y,Double,Whole Blood,N,82.83,N,0,No
14/08/2014,024Y,Single,Serum Fresh,N,3.07,,0,No
19/08/2014,008A,Double,Serum Frozen,N,0,N,14.94,No
19/08/2014,008A,Double,Whole Blood,N,40.4,N,0,No
19/08/2014,008A,Single,Serum Fresh,N,0,,0,No
19/08/2014,009A,Double,Serum Frozen,N,0,P,80.39,No
19/08/2014,009A,Double,Whole Blood,N,45.22,N,0,No
19/08/2014,009A,Single,Serum Fresh,N,0,,0,No
19/08/2014,009P,Double,Serum Frozen,N,0,N,0,No
19/08/2014,009P,Double,Whole Blood,N,29.54,N,0,No
19/08/2014,009P,Single,Serum Fresh,N,0,,0,No
19/08/2014,010A,Double,Serum Frozen,N,8.98,N,0,No
19/08/2014,010A,Double,Whole Blood,P,411.68,N,25.44,No
19/08/2014,010A,Single,Serum Fresh,N,17.33,,0,No
19/08/2014,010E,Double,Serum Frozen,P,154.87,P,37.03,No
19/08/2014,010E,Double,WB Field,P,277,P,141.46,No
19/08/2014,010E,Double,Whole Blood,P,771.58,P,308.5,No
19/08/2014,010E,Single,Serum Fresh,N,18.82,,0,No
19/08/2014,011A,Double,Serum Frozen,N,0,P,113.91,No
19/08/2014,011A,Double,Whole Blood,N,45.82,N,16.65,No
19/08/2014,011A,Single,Serum Fresh,N,6.11,,0,No
19/08/2014,012A,Double,Serum Frozen,P,5536.19,N,4.98,No
19/08/2014,012A,Double,WB Field,P,6424.84,N,0,No
19/08/2014,012A,Double,Whole Blood,P,6029.43,N,0,No
19/08/2014,012A,Single,Serum Fresh,P,1437.21,,0,No
19/08/2014,013A,Double,Serum Frozen,N,0,P,41.56,No
19/08/2014,013A,Double,Whole Blood,N,114.43,N,1.34,No
19/08/2014,013A,Single,Serum Fresh,N,1.37,,0,No
19/08/2014,013E,Double,Serum Frozen,N,6.05,N,7.54,No
19/08/2014,013E,Double,Whole Blood,N,72.94,N,0,No
19/08/2014,013E,Single,Serum Fresh,N,25.34,,0,No
19/08/2014,015P,Double,Serum Frozen,N,0,N,10.49,No
19/08/2014,015P,Double,WB Field,N,28.69,N,0,No
19/08/2014,015P,Double,Whole Blood,N,69.99,N,0,No
19/08/2014,015P,Single,Serum Fresh,N,2.39,,0,No
19/08/2014,019L,Double,Serum Frozen,N,35.11,N,23.66,No
19/08/2014,019L,Double,Whole Blood,P,374.42,N,28.08,No
19/08/2014,019L,Single,Serum Fresh,N,0,,0,No
19/08/2014,019P,Double,Serum Frozen,N,0,N,0,No
19/08/2014,019P,Double,Whole Blood,P,197.74,N,17.84,No
19/08/2014,019P,Single,Serum Fresh,N,2.69,,0,No
19/08/2014,021L,Double,Serum Frozen,N,0,N,0,No
19/08/2014,021L,Double,Whole Blood,N,42.03,N,3.61,No
19/08/2014,021L,Single,Serum Fresh,N,0,,0,No
19/08/2014,033E,Double,Serum Frozen,P,22.61,P,100.2,No
19/08/2014,033E,Double,Whole Blood,P,310.08,P,222.23,No
19/08/2014,033E,Single,Serum Fresh,N,7.19,,0,No
19/08/2014,035A,Double,Serum Frozen,N,0,P,33.18,No
19/08/2014,035A,Double,Whole Blood,N,32.47,N,0,No
19/08/2014,035A,Single,Serum Fresh,N,0.12,,0,No
19/08/2014,036A,Double,Serum Frozen,N,0,N,2.24,No
19/08/2014,036A,Double,Whole Blood,N,33.1,N,30.22,No
19/08/2014,036A,Single,Serum Fresh,N,0,,0,No
19/08/2014,036E,Double,Serum Frozen,N,0,N,7.76,No
19/08/2014,036E,Double,Whole Blood,N,191.59,N,41.29,No
19/08/2014,036E,Single,Serum Fresh,N,0.11,,0,No
19/08/2014,037A,Double,Serum Frozen,N,0,P,80.7,No
19/08/2014,037A,Double,Whole Blood,N,31.2,N,0,No
19/08/2014,037A,Single,Serum Fresh,N,16.21,,0,No
19/08/2014,038A,Double,Serum Frozen,N,0,P,35.45,No
19/08/2014,038A,Double,Whole Blood,N,58.24,N,32.92,No
19/08/2014,038A,Single,Serum Fresh,N,0.2,,0,No
19/08/2014,039A,Double,Serum Frozen,P,4027.64,N,0,No
19/08/2014,039A,Double,WB Field,P,341.03,N,0,No
19/08/2014,039A,Double,Whole Blood,P,6010.6,N,38.66,No
19/08/2014,039A,Single,Serum Fresh,P,1195.25,,0,No
19/08/2014,049E,Double,Serum Frozen,N,0,N,9.64,No
19/08/2014,049E,Double,Whole Blood,N,68.43,N,0,No
19/08/2014,049E,Single,Serum Fresh,N,0,,0,No
19/08/2014,051K,Double,Serum Frozen,N,0,P,58.32,No
19/08/2014,051K,Double,Whole Blood,N,40.65,N,0,No
19/08/2014,051K,Single,Serum Fresh,N,0,,0,No
19/08/2014,053K,Double,Serum Frozen,N,0,N,31.2,No
19/08/2014,053K,Double,WB Field,N,35.98,N,0,No
19/08/2014,053K,Double,Whole Blood,N,36.44,N,7.86,No
19/08/2014,053K,Single,Serum Fresh,N,1.59,,0,No
20/08/2014,006E,Double,Serum Frozen,N,0,N,0,No
20/08/2014,006E,Double,Whole Blood,N,34.9,N,0,No
20/08/2014,006E,Single,Serum Fresh,N,0,,0,No
20/08/2014,007F,Double,Serum Frozen,P,6399.3,N,5.92,No
20/08/2014,007F,Double,Whole Blood,P,6551.8,P,727.02,No
20/08/2014,007F,Single,Serum Fresh,P,1222.36,,0,No
20/08/2014,010P,Double,Serum Frozen,N,0,N,13.13,No
20/08/2014,010P,Double,Whole Blood,N,48.25,N,0,No
20/08/2014,010P,Single,Serum Fresh,N,0,,0,No
20/08/2014,020L,Double,Serum Frozen,N,0,N,0,No
20/08/2014,020L,Double,Whole Blood,N,32.17,N,0,No
20/08/2014,020L,Single,Serum Fresh,N,1.11,,0,No
20/08/2014,040A,Double,Serum Frozen,N,0,N,0,No
20/08/2014,040A,Double,Whole Blood,N,48.04,N,0,No
20/08/2014,040A,Single,Serum Fresh,N,0,,0,No
20/08/2014,041A,Double,Serum Frozen,N,0,N,7.65,No
20/08/2014,041A,Double,Whole Blood,N,35.02,N,0,No
20/08/2014,041A,Single,Serum Fresh,N,2.39,,0,No
09/09/2014,017A,Double,Serum Frozen,P,142.88,N,13.14,No
09/09/2014,017A,Double,WB Field,P,227.09,P,51.78,No
09/09/2014,017A,Double,Whole Blood,P,304.36,N,35.25,No
09/09/2014,017A,Single,Serum Fresh,N,0.4,,0,No
09/09/2014,019A,Double,Serum Frozen,N,0,N,0.11,No
09/09/2014,019A,Double,WB Field,N,31.72,N,0,No
09/09/2014,019A,Double,Whole Blood,N,24.76,N,1.87,No
09/09/2014,019A,Single,Serum Fresh,P,12.26,,0,No
09/09/2014,020A,Double,Serum Frozen,N,0,N,0,No
09/09/2014,020A,Double,Whole Blood,N,45.89,N,0,No
09/09/2014,020A,Single,Serum Fresh,N,15.46,,0,No
09/09/2014,021A,Double,Serum Frozen,N,0,P,53.67,No
09/09/2014,021A,Double,Whole Blood,N,34.92,N,0,No
09/09/2014,021A,Single,Serum Fresh,N,0,,0,No
09/09/2014,022A,Double,Serum Frozen,N,41.11,N,4.5,No
09/09/2014,022A,Double,WB Field,N,39.37,P,220.01,No
09/09/2014,022A,Double,Whole Blood,P,131.43,P,63.25,No
09/09/2014,022A,Single,Serum Fresh,N,5.37,,0,No
09/09/2014,024A,Double,Serum Frozen,N,0,N,38.21,No
09/09/2014,024A,Double,Whole Blood,N,51.61,N,17.18,No
09/09/2014,024A,Single,Serum Fresh,N,4.8,,0,No
09/09/2014,025A,Double,Serum Frozen,N,23.44,P,319.83,No
09/09/2014,025A,Double,Whole Blood,N,22.51,P,113.88,No
09/09/2014,025A,Single,Serum Fresh,N,0,,0,No
09/09/2014,026E,Double,Serum Frozen,N,0,N,15.66,No
09/09/2014,026E,Double,Whole Blood,N,44.72,N,40.61,No
09/09/2014,026E,Single,Serum Fresh,N,4.81,,0,No
09/09/2014,027A,Double,Serum Frozen,N,0,P,78.8,No
09/09/2014,027A,Double,Whole Blood,P,95.31,P,100.68,No
09/09/2014,027A,Single,Serum Fresh,N,0,,0,No
09/09/2014,027E,Double,Serum Frozen,N,0,N,40.55,No
09/09/2014,027E,Double,Whole Blood,N,67.23,N,0,No
09/09/2014,027E,Single,Serum Fresh,N,1.24,,0,No
